iter	Passed	Remaining
171	246	1186
172	246	1180
173	247	1174
174	247	1169
175	248	1163
176	248	1157
177	249	1152
178	250	1147
179	250	1141
180	251	1137
181	251	1131
182	253	1130
183	253	1124
184	254	1119
185	254	1114
186	255	1109
187	255	1104
188	256	1099
189	256	1094
190	257	1090
191	258	1085
192	258	1081
193	259	1076
194	259	1072
195	260	1067
196	260	1062
197	261	1057
198	261	1053
199	262	1048
200	262	1043
201	263	1039
202	263	1035
203	264	1031
204	264	1027
205	265	1023
206	266	1019
207	266	1015
208	267	1010
209	267	1006
210	268	1002
211	268	998
212	269	994
213	269	990
214	270	987
215	270	983
216	271	979
217	272	975
218	272	972
219	273	969
220	274	965
221	274	962
222	275	958
223	275	954
224	276	951
225	276	947
226	277	944
227	277	941
228	278	937
229	279	934
230	279	930
231	280	927
232	280	923
233	281	920
234	281	916
235	282	913
236	282	909
237	283	907
238	284	904
239	284	901
240	285	898
241	285	895
242	286	892
243	287	889
244	287	886
245	288	882
246	288	879
247	289	876
248	289	873
249	290	871
250	291	868
251	291	866
252	292	863
253	292	860
254	293	857
255	294	854
256	295	853
257	295	850
258	296	848
259	297	846
260	298	844
261	299	842
262	299	840
263	300	837
264	301	834
265	301	832
266	302	829
267	302	827
268	303	825
269	304	823
270	305	820
271	305	818
272	306	816
273	307	813
274	307	810
275	308	808
276	308	806
277	309	804
278	310	802
279	311	801
280	312	798
281	312	796
282	313	793
283	313	791
284	314	789
285	315	786
286	315	784
287	316	782
288	317	781
289	318	778
290	318	776
291	319	774
292	319	771
293	320	769
294	320	767
295	321	764
296	322	762
297	323	761
298	323	759
299	324	757
300	325	755
301	326	753
302	326	751
303	327	749
304	328	747
305	329	746
306	329	744
307	330	742
308	331	740
309	331	738
310	332	736
311	332	733
312	333	731
313	334	729
314	334	728
315	335	726
316	336	725
317	337	723
318	337	721
319	338	719
320	339	717
321	339	715
322	340	713
323	341	712
324	342	710
325	343	709
326	343	707
327	344	705
328	344	703
329	345	701
330	345	699
331	346	697
332	347	695
333	348	694
334	349	692
335	349	690
336	350	688
337	350	686
338	351	684
339	351	683
340	352	681
341	353	679
342	353	678
343	354	676
344	355	675
345	356	673
346	357	671
347	357	669
348	358	668
349	358	666
350	359	664
351	360	662
352	360	661
353	361	660
354	362	658
355	362	656
356	363	654
357	364	652
358	364	651
359	365	649
360	366	648
361	367	647
362	368	646
363	369	644
364	369	643
365	370	642
366	371	640
367	371	638
368	372	637
369	373	635
370	374	634
371	375	633
372	375	631
373	376	629
374	376	628
375	377	626
376	378	625
377	379	623
378	380	622
379	381	622
380	382	620
381	382	619
382	383	617
383	384	616
384	385	615
385	385	613
386	386	612
387	388	612
388	388	610
389	389	609
390	390	607
391	391	606
392	392	605
393	393	604
394	394	603
395	394	602
396	395	600
397	396	599
398	396	597
399	397	596
400	398	595
401	399	594
402	400	592
403	400	591
404	401	589
405	401	587
406	402	586
407	403	585
408	403	583
409	404	582
410	405	581
411	406	579
412	406	578
413	407	576
414	407	575
415	408	573
416	409	572
417	410	571
418	411	570
419	412	568
420	412	567
421	413	566
422	413	564
423	414	563
424	415	562
425	416	560
426	416	559
427	417	558
428	418	557
429	419	555
430	419	554
431	420	552
432	420	551
433	421	550
434	422	548
435	423	547
436	424	547
437	425	545
438	425	544
439	426	542
440	427	541
441	427	540
442	428	538
443	429	537
444	430	536
445	431	535
446	431	534
447	432	532
448	432	531
449	433	530
450	434	528
451	435	527
452	436	526
453	437	525
454	437	524
455	438	523
456	439	521
457	439	520
458	440	519
459	441	518
460	442	517
461	443	516
462	444	515
463	444	513
464	445	512
465	446	511
466	446	510
467	447	508
468	448	507
469	449	506
470	449	505
471	450	504
472	451	502
473	452	501
474	452	500
475	453	499
476	454	498
477	455	497
478	455	495
479	456	494
480	457	493
481	457	492
482	458	490
483	459	489
484	459	488
485	460	487
486	461	486
487	462	484
488	462	483
489	463	482
490	463	480
491	464	479
492	464	478
493	465	476
494	466	475
495	467	474
